ntaxa,mpd.obs,mpd.rand.mean,mpd.rand.sd,mpd.obs.rank,mpd.obs.z,mpd.obs.p,runs,mntd.obs,mntd.rand.mean,mntd.rand.sd,mntd.obs.rank,mntd.obs.z,mntd.obs.p,Tmin,Tmax,Pmin,Pmax,AET,ETR,WDI,Deglac.,x,y,year,nri,nti,nri_p,nti_p,nri_significant,nti_significant
13,70.01854777,107.1259729,32.689934,75,-1.13513307,0.075,999,102.3586851,117.0221086,19.56532154,197.5,-0.749459876,0.1975,-19.89357098,24.9721423,46.87857213,93.10714424,610.3428662,0.903466241,130.4571448,12000,-80.25,46.75,0BP,1.13513307,0.749459876,0.075,0.1975,FALSE,FALSE
25,164.0266074,171.3834051,10.32783723,209,-0.71232704,0.209,999,91.90511773,105.1390319,18.32708257,254,-0.722096062,0.254,-11.03857118,26.8199994,77.3428583,107.4857159,809.9785835,0.949776676,281.8214328,17000,-71.75,42.75,0BP,0.71232704,0.722096062,0.209,0.254,FALSE,FALSE
25,155.2109949,155.3863811,13.38653762,501,-0.013101685,0.501,999,112.21619,118.8717942,13.04574393,368,-0.510174372,0.368,-3.038571361,31.10642788,76.41428685,136.4214306,1050.207159,0.972648564,240.2642893,22000,-85.25,36.25,0BP,0.013101685,0.510174372,0.501,0.368,FALSE,FALSE
16,60.18563815,82.17289756,30.62959146,205,-0.717843705,0.205,999,99.66168673,106.4560943,14.02440057,305,-0.484470441,0.305,-20.22642812,21.98714237,87.22142987,133.2142877,539.9857223,0.992013905,801.9142977,13000,-70.75,47.25,0BP,0.717843705,0.484470441,0.205,0.305,FALSE,FALSE
21,163.3448695,166.1601147,13.54427833,476,-0.20785494,0.476,999,110.8219334,113.5604899,11.15888019,425,-0.245414987,0.425,-16.94857105,25.20499944,71.0428582,101.9928587,633.171438,0.982961776,421.3071491,14000,-73.25,45.75,0BP,0.20785494,0.245414987,0.476,0.425,FALSE,FALSE
12,152.4124574,151.9381733,19.15243752,569,0.024763646,0.569,999,133.3707599,130.9919457,16.57166305,643,0.143547102,0.643,-15.67499965,25.29999943,59.64285803,121.7857161,651.435724,0.961797826,342.8714337,14000,-79.75,45.25,0BP,-0.024763646,-0.143547102,0.569,0.643,FALSE,FALSE
16,149.8174132,155.3088597,14.96623476,364,-0.366922383,0.364,999,102.6351075,122.4242905,17.15527315,121,-1.153533543,0.121,-12.10999973,25.37428515,75.02142969,118.9142875,763.4357257,0.967227189,396.7000059,20000,-74.75,42.25,0BP,0.366922383,1.153533543,0.364,0.121,FALSE,FALSE
13,134.1181503,138.5250372,23.39534347,409,-0.188365984,0.409,999,187.8087077,134.5398376,26.86760354,973,1.98264315,0.973,4.893571319,33.2228564,62.83571522,169.1857168,1288.128591,0.931987861,-77.3928583,22000,-83.25,30.75,0BP,0.188365984,-1.98264315,0.409,0.973,FALSE,TRUE
19,191.1413044,191.1063008,8.333548531,452,0.00420032,0.452,999,95.1657655,119.4733732,17.30667303,77.5,-1.404522268,0.0775,-13.07285685,25.25499944,65.41428669,82.54285837,636.9928666,0.879523395,169.7428597,15000,-77.75,44.25,0BP,-0.00420032,1.404522268,0.452,0.0775,FALSE,FALSE
9,143.6101321,148.1032615,27.80259562,321.5,-0.161608271,0.3215,999,149.3418718,145.1334477,25.46018057,573.5,0.165294354,0.5735,-22.27071379,24.42857088,42.30000063,91.38571565,576.52858,0.943889352,167.4642882,12000,-79.75,47.25,0BP,0.161608271,-0.165294354,0.3215,0.5735,FALSE,FALSE
20,151.3882779,156.0305928,13.79175469,411,-0.336600746,0.411,999,98.50986034,110.3205808,12.6328979,162,-0.93491775,0.162,-14.04999969,25.13928515,83.45000124,112.8214303,701.1142962,0.965382646,450.0714353,16000,-70.25,44.25,0BP,0.336600746,0.93491775,0.411,0.162,FALSE,FALSE
15,107.867674,124.0077664,23.76593232,272.5,-0.679127258,0.2725,999,104.211661,113.2094118,12.80157546,192,-0.702862768,0.192,-14.34857111,24.18142803,80.02142976,121.742859,649.3285811,0.969780143,508.2428647,16000,-67.25,45.25,0BP,0.679127258,0.702862768,0.2725,0.192,FALSE,FALSE
16,79.10091237,99.64126438,29.58338755,233,-0.694320486,0.233,999,101.5986972,108.2214417,13.97617134,341,-0.473859709,0.341,-18.83928529,25.18857087,48.91428644,102.1571444,629.5285808,0.9711036,218.114289,12000,-78.75,46.25,0BP,0.694320486,0.473859709,0.233,0.341,FALSE,FALSE
13,134.9665254,139.6777294,19.66569952,433,-0.239564526,0.433,999,123.8276072,124.138933,16.81101433,628,-0.018519156,0.628,-15.03571395,26.98214225,30.02142902,92.34285852,703.1928676,0.741831363,-57.642858,20000,-88.25,44.75,0BP,0.239564526,0.018519156,0.433,0.628,FALSE,FALSE
17,196.1827476,193.1644187,19.76936448,388,0.152677083,0.388,999,103.0699994,125.7332223,21.2567396,147,-1.066166468,0.147,-21.67357094,26.30142798,15.13571451,99.37857291,611.6642948,0.525541959,-183.9285742,15000,-94.75,47.75,0BP,-0.152677083,1.066166468,0.388,0.147,FALSE,FALSE
13,93.55028243,109.1206764,35.30391689,426,-0.44103871,0.426,999,85.17496877,147.9117454,36.27577645,79,-1.729439941,0.079,-6.571428425,29.81999933,64.88571525,107.7714302,914.2428708,0.963069063,75.6714297,22000,-78.75,39.75,0BP,0.44103871,1.729439941,0.426,0.079,FALSE,FALSE
19,164.6390665,168.8587806,10.6815278,318,-0.395047811,0.318,999,106.1100035,115.6547754,20.41506836,354,-0.467535633,0.354,-9.133571224,28.11785651,72.27857251,117.3285732,882.4642989,0.982025306,282.9928614,20000,-74.75,41.25,0BP,0.395047811,0.467535633,0.318,0.354,FALSE,FALSE
26,172.1413828,176.8297773,8.496636161,297,-0.5517942,0.297,999,102.8576449,104.5882634,16.2799494,544,-0.106303676,0.544,-11.05714261,27.82499938,71.62142964,105.1000016,834.3571553,0.925540471,200.0428601,16000,-72.25,42.75,0BP,0.5517942,0.106303676,0.297,0.544,FALSE,FALSE
30,162.3523893,168.0278499,10.22963807,264,-0.554805607,0.264,999,62.79614503,79.5848781,18.92676526,158,-0.887036577,0.158,-2.014285669,30.89214217,71.02857249,139.9357164,1035.792873,0.958178928,185.4071456,22000,-84.25,35.75,0BP,0.554805607,0.887036577,0.264,0.158,FALSE,FALSE
16,168.667439,162.6792147,15.98012524,678,0.374729493,0.678,999,158.3233878,134.7905104,27.43531575,742,0.857758575,0.742,-14.21999968,27.89357081,27.22142898,107.278573,763.4642971,0.817732043,-11.05000016,22000,-89.75,43.25,0BP,-0.374729493,-0.857758575,0.678,0.742,FALSE,FALSE
16,180.0538929,182.2620671,12.5607174,291,-0.175800009,0.291,999,111.4577283,124.220846,16.0733692,201,-0.794053661,0.201,-21.53428523,26.7749994,13.6000002,106.5642873,605.5785805,0.487313501,-217.8214318,18000,-95.25,47.25,0BP,0.175800009,0.794053661,0.291,0.201,FALSE,FALSE
5,108.7276542,121.3146761,26.79850534,305,-0.469691191,0.305,999,148.0925694,161.1742258,30.54979351,374,-0.428207689,0.374,-31.80071357,18.93928529,15.65714309,69.76428675,357.0785767,0.93233819,81.64285836,10000,-95.25,57.75,0BP,0.469691191,0.428207689,0.305,0.374,FALSE,FALSE
4,15.94457726,46.6240596,51.3446005,369.5,-0.597521103,0.3695,999,138.797002,153.4847626,37.20732375,428.5,-0.394754555,0.4285,-30.1064279,17.08285676,30.10714331,109.3000016,370.2500055,0.985230882,403.5142917,8000,-70.25,54.25,0BP,0.597521103,0.394754555,0.3695,0.4285,FALSE,FALSE
12,181.1246395,158.4074606,23.23298178,861,0.977798679,0.861,999,161.4787454,150.7561082,26.24306239,654,0.408589402,0.654,11.22214261,32.65214213,44.22857209,206.5785745,1286.850019,0.786133476,-305.4142903,22000,-81.25,27.25,0BP,-0.977798679,-0.408589402,0.861,0.654,FALSE,FALSE
26,191.972436,192.1268756,5.727152643,506,-0.026966201,0.506,999,116.3735763,102.1284091,19.11642508,727,0.745179452,0.727,-8.879285516,26.85928511,50.40714361,79.68571547,717.8000107,0.827168168,-42.81428635,15000,-78.25,43.25,0BP,0.026966201,-0.745179452,0.506,0.727,FALSE,FALSE
